"workerid","rt","trial_type","evidenceStatement","freqLevel","characterName","habitual","n","instance","time_period","response","frequency","logFreq"
29,3292,"truthJudge","wrote",50,"David","writes poems",5,"poems","5 years","disagree-key",1,0
29,3711,"truthJudge","ran",75,"Kim","runs",120,"times","year","agree-key",120,4.78749174278205
29,3098,"truthJudge","wrote",75,"Veronica","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
29,5703,"truthJudge","played computer games",50,"Alexander","plays computer games",4,"times","week","agree-key",208,5.33753807970132
29,5783,"truthJudge","played computer games",25,"William","plays computer games",2,"times","week","disagree-key",104,4.64439089914137
29,3213,"truthJudge","stole",75,"Monica","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
29,3121,"truthJudge","drove to work",50,"Kathleen","drives to work",4,"times","week","agree-key",208,5.33753807970132
29,2761,"truthJudge","ran",25,"Stephen","runs",3,"times","year","disagree-key",3,1.09861228866811
29,5430,"truthJudge","biked to work",50,"Laura","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
29,3573,"truthJudge","smoked",50,"Michael","smokes",7,"times","week","disagree-key",364,5.89715386763674
29,5353,"truthJudge","ate granola for breakfast",75,"Alexander","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
30,16900,"truthJudge","ran",50,"Melinda","runs",25,"times","year","agree-key",25,3.2188758248682
30,19557,"truthJudge","stole",75,"Cameron","steals cars",5,"cars","10 years","disagree-key",0.5,-0.693147180559945
30,15959,"truthJudge","wrote",25,"Greg","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
30,8191,"truthJudge","ran",75,"Laura","runs",120,"times","year","agree-key",120,4.78749174278205
30,6414,"truthJudge","stole",25,"Michelle","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
30,6116,"truthJudge","wrote",25,"Monica","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
30,9423,"truthJudge","played computer games",75,"Daniel","plays computer games",7,"times","week","agree-key",364,5.89715386763674
30,6309,"truthJudge","vacationed in Switzerland",25,"David","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
30,5303,"truthJudge","vacationed in Switzerland",50,"David","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
30,8640,"truthJudge","drank",75,"Daniel","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
30,7485,"truthJudge","played computer games",50,"Lucas","plays computer games",4,"times","week","agree-key",208,5.33753807970132
30,4793,"truthJudge","wrote",50,"Michael","writes novels",10,"novels","10 years","agree-key",1,0
30,5251,"truthJudge","drove to work",75,"Anthony","drives to work",5,"times","week","agree-key",260,5.56068163101553
30,6873,"truthJudge","hiked",75,"Alexander","hikes",12,"times","year","agree-key",12,2.484906649788
30,6407,"truthJudge","drank",50,"William","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
30,4103,"truthJudge","smoked",50,"Kathleen","smokes",7,"times","week","agree-key",364,5.89715386763674
30,4621,"truthJudge","drove to work",25,"William","drives to work",3,"times","week","agree-key",156,5.04985600724954
30,3614,"truthJudge","biked to work",50,"Alexander","bikes to work",6,"times","month","agree-key",72,4.27666611901606
30,5462,"truthJudge","played computer games",25,"John","plays computer games",2,"times","week","agree-key",104,4.64439089914137
30,3446,"truthJudge","wrote",75,"Stephen","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
30,4696,"truthJudge","ate granola for breakfast",75,"Angela","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
30,3703,"truthJudge","biked to work",75,"Eric","bikes to work",24,"times","month","agree-key",288,5.66296048013595
30,2685,"truthJudge","drove to work",50,"Tom","drives to work",4,"times","week","agree-key",208,5.33753807970132
30,9477,"truthJudge","ate granola for breakfast",25,"Julia","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
30,3534,"truthJudge","smoked",75,"Kim","smokes",70,"times","week","agree-key",3640,8.19973896063079
30,4478,"truthJudge","hiked",50,"Sophia","hikes",4,"times","year","disagree-key",4,1.38629436111989
30,5030,"truthJudge","wrote",75,"Gabriel","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
30,6783,"truthJudge","vacationed in Switzerland",75,"Anthony","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
30,6007,"truthJudge","biked to work",25,"Alicia","bikes to work",2,"times","month","agree-key",24,3.17805383034795
30,8958,"truthJudge","ate granola for breakfast",50,"Claire","eats granola for breakfast",5,"times","month","disagree-key",60,4.0943445622221
30,2774,"truthJudge","hiked",25,"Gabriel","hikes",1,"time","year","disagree-key",1,0
30,5224,"truthJudge","stole",50,"Veronica","steals cars",2,"cars","10 years","disagree-key",0.2,-1.6094379124341
30,3981,"truthJudge","wrote",50,"Stephanie","writes poems",5,"poems","5 years","disagree-key",1,0
30,8948,"truthJudge","smoked",25,"Lee","smokes",1,"time","week","disagree-key",52,3.95124371858143
30,14459,"truthJudge","ran",25,"Maya","runs",3,"times","year","disagree-key",3,1.09861228866811
30,5847,"truthJudge","drank",25,"Jennifer","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
31,14104,"truthJudge","hiked",25,"David","hikes",1,"time","year","disagree-key",1,0
31,2891,"truthJudge","ran",50,"Cameron","runs",25,"times","year","agree-key",25,3.2188758248682
31,3844,"truthJudge","drank",25,"Kathleen","drinks beer",1,"beer","month","agree-key",12,2.484906649788
31,4603,"truthJudge","smoked",50,"Laura","smokes",7,"times","week","agree-key",364,5.89715386763674
31,3739,"truthJudge","drove to work",50,"Michelle","drives to work",4,"times","week","agree-key",208,5.33753807970132
31,3389,"truthJudge","stole",25,"Maya","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
31,2768,"truthJudge","played computer games",25,"Anthony","plays computer games",2,"times","week","agree-key",104,4.64439089914137
31,2819,"truthJudge","played computer games",50,"Jennifer","plays computer games",4,"times","week","agree-key",208,5.33753807970132
31,2101,"truthJudge","drove to work",75,"Alexander","drives to work",5,"times","week","agree-key",260,5.56068163101553
31,4224,"truthJudge","vacationed in Switzerland",75,"Claire","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
31,2415,"truthJudge","drove to work",25,"Daniel","drives to work",3,"times","week","agree-key",156,5.04985600724954
31,3662,"truthJudge","ate granola for breakfast",25,"John","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
31,4164,"truthJudge","vacationed in Switzerland",25,"Julia","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
31,3005,"truthJudge","vacationed in Switzerland",50,"Sophia","vacations in Switzerland",2,"times","10 years","agree-key",0.2,-1.6094379124341
31,4844,"truthJudge","wrote",50,"David","writes novels",10,"novels","10 years","agree-key",1,0
31,5405,"truthJudge","ate granola for breakfast",50,"Gabriel","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
31,4807,"truthJudge","hiked",50,"Alicia","hikes",4,"times","year","agree-key",4,1.38629436111989
31,1950,"truthJudge","wrote",25,"Stephen","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
31,1941,"truthJudge","played computer games",75,"Stephanie","plays computer games",7,"times","week","agree-key",364,5.89715386763674
31,1446,"truthJudge","drank",75,"Gabriel","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
31,2332,"truthJudge","ran",25,"Anthony","runs",3,"times","year","disagree-key",3,1.09861228866811
31,1695,"truthJudge","wrote",75,"William","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
31,2749,"truthJudge","stole",75,"Kim","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
31,2591,"truthJudge","ate granola for breakfast",75,"Alexander","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
31,2432,"truthJudge","ran",75,"Lucas","runs",120,"times","year","agree-key",120,4.78749174278205
31,6589,"truthJudge","biked to work",50,"Angela","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
31,3226,"truthJudge","wrote",50,"Monica","writes poems",5,"poems","5 years","agree-key",1,0
31,5462,"truthJudge","biked to work",75,"Tom","bikes to work",24,"times","month","agree-key",288,5.66296048013595
31,1781,"truthJudge","smoked",75,"Veronica","smokes",70,"times","week","agree-key",3640,8.19973896063079
31,1646,"truthJudge","wrote",75,"Melinda","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
31,3684,"truthJudge","biked to work",25,"William","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
31,3941,"truthJudge","wrote",25,"Eric","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
31,2894,"truthJudge","smoked",25,"Lee","smokes",1,"time","week","disagree-key",52,3.95124371858143
31,1581,"truthJudge","drank",50,"Michael","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
31,4178,"truthJudge","hiked",75,"Daniel","hikes",12,"times","year","agree-key",12,2.484906649788
31,2952,"truthJudge","stole",50,"Greg","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
32,3381,"truthJudge","wrote",75,"Cameron","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
32,2155,"truthJudge","drank",50,"Claire","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
32,2912,"truthJudge","drove to work",25,"Sophia","drives to work",3,"times","week","agree-key",156,5.04985600724954
32,1477,"truthJudge","drove to work",75,"Kathleen","drives to work",5,"times","week","agree-key",260,5.56068163101553
32,1310,"truthJudge","drove to work",50,"Michelle","drives to work",4,"times","week","agree-key",208,5.33753807970132
32,1421,"truthJudge","played computer games",50,"Michael","plays computer games",4,"times","week","agree-key",208,5.33753807970132
32,1270,"truthJudge","biked to work",75,"Kim","bikes to work",24,"times","month","agree-key",288,5.66296048013595
32,3253,"truthJudge","smoked",25,"David","smokes",1,"time","week","disagree-key",52,3.95124371858143
32,3069,"truthJudge","biked to work",25,"Anthony","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
32,2405,"truthJudge","ran",50,"Veronica","runs",25,"times","year","agree-key",25,3.2188758248682
32,2245,"truthJudge","stole",25,"Julia","steals cars",1,"car","10 years","agree-key",0.1,-2.30258509299405
32,3837,"truthJudge","hiked",25,"Stephanie","hikes",1,"time","year","disagree-key",1,0
32,1372,"truthJudge","wrote",25,"Lucas","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
32,1342,"truthJudge","ran",25,"Stephen","runs",3,"times","year","agree-key",3,1.09861228866811
32,1230,"truthJudge","biked to work",50,"William","bikes to work",6,"times","month","agree-key",72,4.27666611901606
32,1062,"truthJudge","ate granola for breakfast",75,"Alicia","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
32,1183,"truthJudge","stole",50,"Anthony","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
32,3068,"truthJudge","ran",75,"William","runs",120,"times","year","agree-key",120,4.78749174278205
32,1966,"truthJudge","drank",25,"Tom","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
32,1060,"truthJudge","stole",75,"Eric","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
32,3453,"truthJudge","vacationed in Switzerland",25,"John","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
32,1493,"truthJudge","smoked",75,"Alexander","smokes",70,"times","week","agree-key",3640,8.19973896063079
32,1660,"truthJudge","vacationed in Switzerland",75,"Melinda","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
32,885,"truthJudge","wrote",75,"Daniel","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
32,709,"truthJudge","wrote",50,"Gabriel","writes novels",10,"novels","10 years","agree-key",1,0
32,797,"truthJudge","smoked",50,"Jennifer","smokes",7,"times","week","agree-key",364,5.89715386763674
32,1846,"truthJudge","wrote",25,"Alexander","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
32,1074,"truthJudge","wrote",50,"Angela","writes poems",5,"poems","5 years","agree-key",1,0
32,925,"truthJudge","hiked",50,"Greg","hikes",4,"times","year","agree-key",4,1.38629436111989
32,1285,"truthJudge","ate granola for breakfast",25,"Laura","eats granola for breakfast",2,"times","month","agree-key",24,3.17805383034795
32,1125,"truthJudge","played computer games",75,"Monica","plays computer games",7,"times","week","agree-key",364,5.89715386763674
32,781,"truthJudge","ate granola for breakfast",50,"David","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
32,1457,"truthJudge","played computer games",25,"Lee","plays computer games",2,"times","week","agree-key",104,4.64439089914137
32,1023,"truthJudge","vacationed in Switzerland",50,"Maya","vacations in Switzerland",2,"times","10 years","agree-key",0.2,-1.6094379124341
32,853,"truthJudge","hiked",75,"Gabriel","hikes",12,"times","year","agree-key",12,2.484906649788
32,1765,"truthJudge","drank",75,"Daniel","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
33,13440,"truthJudge","vacationed in Switzerland",50,"Gabriel","vacations in Switzerland",2,"times","10 years","agree-key",0.2,-1.6094379124341
33,5238,"truthJudge","wrote",25,"Angela","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
33,744,"truthJudge","biked to work",75,"Julia","bikes to work",24,"times","month","disagree-key",288,5.66296048013595
33,2960,"truthJudge","vacationed in Switzerland",25,"David","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
33,3070,"truthJudge","ran",50,"Veronica","runs",25,"times","year","agree-key",25,3.2188758248682
33,1885,"truthJudge","smoked",25,"Claire","smokes",1,"time","week","disagree-key",52,3.95124371858143
33,3578,"truthJudge","ate granola for breakfast",50,"William","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
33,2115,"truthJudge","smoked",50,"Laura","smokes",7,"times","week","agree-key",364,5.89715386763674
33,3033,"truthJudge","drove to work",75,"Daniel","drives to work",5,"times","week","agree-key",260,5.56068163101553
33,1481,"truthJudge","smoked",75,"Maya","smokes",70,"times","week","agree-key",3640,8.19973896063079
33,2577,"truthJudge","played computer games",50,"Stephanie","plays computer games",4,"times","week","agree-key",208,5.33753807970132
33,3185,"truthJudge","ate granola for breakfast",25,"Michelle","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
33,2326,"truthJudge","drank",75,"Tom","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
33,2266,"truthJudge","played computer games",25,"Jennifer","plays computer games",2,"times","week","agree-key",104,4.64439089914137
33,3396,"truthJudge","hiked",75,"Eric","hikes",12,"times","year","agree-key",12,2.484906649788
33,2262,"truthJudge","stole",75,"Lucas","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
33,5399,"truthJudge","wrote",50,"David","writes novels",10,"novels","10 years","agree-key",1,0
33,2224,"truthJudge","vacationed in Switzerland",75,"Cameron","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
33,1821,"truthJudge","wrote",50,"Alicia","writes poems",5,"poems","5 years","agree-key",1,0
33,1674,"truthJudge","hiked",25,"Michael","hikes",1,"time","year","disagree-key",1,0
33,1868,"truthJudge","drove to work",25,"Kim","drives to work",3,"times","week","agree-key",156,5.04985600724954
33,2265,"truthJudge","played computer games",75,"Sophia","plays computer games",7,"times","week","agree-key",364,5.89715386763674
33,3045,"truthJudge","ran",25,"Kathleen","runs",3,"times","year","agree-key",3,1.09861228866811
33,2675,"truthJudge","wrote",25,"Alexander","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
33,2529,"truthJudge","drank",25,"John","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
33,4532,"truthJudge","hiked",50,"Melinda","hikes",4,"times","year","agree-key",4,1.38629436111989
33,2053,"truthJudge","wrote",75,"Lee","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
33,1593,"truthJudge","drove to work",50,"Alexander","drives to work",4,"times","week","agree-key",208,5.33753807970132
33,2484,"truthJudge","stole",25,"William","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
33,1775,"truthJudge","wrote",75,"Monica","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
33,2246,"truthJudge","ate granola for breakfast",75,"Anthony","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
33,2012,"truthJudge","ran",75,"Gabriel","runs",120,"times","year","agree-key",120,4.78749174278205
33,2023,"truthJudge","biked to work",50,"Stephen","bikes to work",6,"times","month","agree-key",72,4.27666611901606
33,2538,"truthJudge","biked to work",25,"Daniel","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
33,2392,"truthJudge","stole",50,"Greg","steals cars",2,"cars","10 years","disagree-key",0.2,-1.6094379124341
33,1289,"truthJudge","drank",50,"Anthony","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
34,6040,"truthJudge","smoked",25,"Angela","smokes",1,"time","week","agree-key",52,3.95124371858143
34,3763,"truthJudge","ran",75,"Gabriel","runs",120,"times","year","agree-key",120,4.78749174278205
34,2461,"truthJudge","stole",50,"Michelle","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
34,5112,"truthJudge","ate granola for breakfast",75,"Daniel","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
34,4361,"truthJudge","biked to work",75,"Lee","bikes to work",24,"times","month","agree-key",288,5.66296048013595
34,4429,"truthJudge","vacationed in Switzerland",25,"Cameron","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
34,4669,"truthJudge","vacationed in Switzerland",75,"Alexander","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
34,3157,"truthJudge","wrote",75,"Stephanie","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
34,2205,"truthJudge","hiked",25,"William","hikes",1,"time","year","disagree-key",1,0
34,2629,"truthJudge","drank",25,"Laura","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
34,2789,"truthJudge","hiked",50,"Anthony","hikes",4,"times","year","disagree-key",4,1.38629436111989
34,2212,"truthJudge","biked to work",25,"Sophia","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
34,2188,"truthJudge","wrote",25,"Veronica","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
34,3173,"truthJudge","smoked",75,"Lucas","smokes",70,"times","week","agree-key",3640,8.19973896063079
34,4256,"truthJudge","vacationed in Switzerland",50,"Monica","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
34,3668,"truthJudge","ran",50,"Kim","runs",25,"times","year","disagree-key",25,3.2188758248682
34,2581,"truthJudge","played computer games",75,"Gabriel","plays computer games",7,"times","week","agree-key",364,5.89715386763674
34,3694,"truthJudge","played computer games",25,"David","plays computer games",2,"times","week","agree-key",104,4.64439089914137
34,2309,"truthJudge","drank",75,"Daniel","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
34,3166,"truthJudge","ate granola for breakfast",25,"Anthony","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
34,2525,"truthJudge","wrote",50,"Tom","writes novels",10,"novels","10 years","agree-key",1,0
34,2518,"truthJudge","drank",50,"Melinda","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
34,2237,"truthJudge","hiked",75,"Stephen","hikes",12,"times","year","agree-key",12,2.484906649788
34,2117,"truthJudge","wrote",75,"Julia","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
34,3044,"truthJudge","stole",75,"Claire","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
34,2341,"truthJudge","wrote",25,"Greg","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
34,4023,"truthJudge","drove to work",75,"William","drives to work",5,"times","week","agree-key",260,5.56068163101553
34,2828,"truthJudge","played computer games",50,"John","plays computer games",4,"times","week","agree-key",208,5.33753807970132
34,1941,"truthJudge","stole",25,"Alicia","steals cars",1,"car","10 years","agree-key",0.1,-2.30258509299405
34,11567,"truthJudge","wrote",50,"Michael","writes poems",5,"poems","5 years","disagree-key",1,0
34,1965,"truthJudge","drove to work",25,"Kathleen","drives to work",3,"times","week","agree-key",156,5.04985600724954
34,1813,"truthJudge","ran",25,"Maya","runs",3,"times","year","disagree-key",3,1.09861228866811
34,1750,"truthJudge","drove to work",50,"Alexander","drives to work",4,"times","week","agree-key",208,5.33753807970132
34,2723,"truthJudge","ate granola for breakfast",50,"Eric","eats granola for breakfast",5,"times","month","disagree-key",60,4.0943445622221
34,3820,"truthJudge","biked to work",50,"David","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
34,1661,"truthJudge","smoked",50,"Jennifer","smokes",7,"times","week","agree-key",364,5.89715386763674
35,4614,"truthJudge","drank",25,"Tom","drinks beer",1,"beer","month","agree-key",12,2.484906649788
35,2541,"truthJudge","drank",50,"Julia","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
35,2774,"truthJudge","wrote",50,"David","writes novels",10,"novels","10 years","agree-key",1,0
35,1790,"truthJudge","wrote",75,"Cameron","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
35,2220,"truthJudge","stole",75,"Daniel","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
35,2359,"truthJudge","hiked",50,"William","hikes",4,"times","year","agree-key",4,1.38629436111989
35,2563,"truthJudge","drove to work",25,"Maya","drives to work",3,"times","week","agree-key",156,5.04985600724954
35,2554,"truthJudge","hiked",75,"Lucas","hikes",12,"times","year","agree-key",12,2.484906649788
35,3047,"truthJudge","vacationed in Switzerland",50,"Gabriel","vacations in Switzerland",2,"times","10 years","agree-key",0.2,-1.6094379124341
35,1924,"truthJudge","drank",75,"Michael","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
35,6648,"truthJudge","ate granola for breakfast",75,"Kathleen","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
35,4785,"truthJudge","ate granola for breakfast",25,"John","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
35,1950,"truthJudge","smoked",50,"Alexander","smokes",7,"times","week","agree-key",364,5.89715386763674
35,1660,"truthJudge","wrote",25,"Angela","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
35,2836,"truthJudge","ran",25,"Eric","runs",3,"times","year","agree-key",3,1.09861228866811
35,1559,"truthJudge","drove to work",50,"Lee","drives to work",4,"times","week","agree-key",208,5.33753807970132
35,2414,"truthJudge","ate granola for breakfast",50,"Greg","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
35,1324,"truthJudge","smoked",75,"Monica","smokes",70,"times","week","agree-key",3640,8.19973896063079
35,1424,"truthJudge","ran",75,"Gabriel","runs",120,"times","year","agree-key",120,4.78749174278205
35,2046,"truthJudge","biked to work",50,"Claire","bikes to work",6,"times","month","agree-key",72,4.27666611901606
35,1843,"truthJudge","played computer games",25,"Laura","plays computer games",2,"times","week","disagree-key",104,4.64439089914137
35,1743,"truthJudge","hiked",25,"Melinda","hikes",1,"time","year","disagree-key",1,0
35,1751,"truthJudge","wrote",75,"Alexander","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
35,1322,"truthJudge","smoked",25,"Kim","smokes",1,"time","week","disagree-key",52,3.95124371858143
35,1561,"truthJudge","vacationed in Switzerland",75,"Alicia","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
35,1260,"truthJudge","vacationed in Switzerland",25,"Stephanie","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
35,2592,"truthJudge","biked to work",25,"Daniel","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
35,1220,"truthJudge","stole",50,"Veronica","steals cars",2,"cars","10 years","disagree-key",0.2,-1.6094379124341
35,693,"truthJudge","wrote",50,"Jennifer","writes poems",5,"poems","5 years","agree-key",1,0
35,643,"truthJudge","ran",50,"Stephen","runs",25,"times","year","agree-key",25,3.2188758248682
35,930,"truthJudge","drove to work",75,"William","drives to work",5,"times","week","agree-key",260,5.56068163101553
35,1021,"truthJudge","wrote",25,"Michelle","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
35,816,"truthJudge","stole",25,"Anthony","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
35,675,"truthJudge","played computer games",75,"Sophia","plays computer games",7,"times","week","agree-key",364,5.89715386763674
35,612,"truthJudge","biked to work",75,"David","bikes to work",24,"times","month","agree-key",288,5.66296048013595
35,521,"truthJudge","played computer games",50,"Anthony","plays computer games",4,"times","week","agree-key",208,5.33753807970132
36,4760,"truthJudge","drank",50,"Daniel","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
36,5986,"truthJudge","biked to work",50,"Stephen","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
36,3649,"truthJudge","wrote",75,"Monica","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
36,3002,"truthJudge","stole",50,"Gabriel","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
36,5945,"truthJudge","ate granola for breakfast",25,"Jennifer","eats granola for breakfast",2,"times","month","agree-key",24,3.17805383034795
36,3577,"truthJudge","played computer games",75,"Eric","plays computer games",7,"times","week","agree-key",364,5.89715386763674
36,4641,"truthJudge","wrote",25,"Daniel","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
36,3459,"truthJudge","hiked",25,"Julia","hikes",1,"time","year","agree-key",1,0
36,2617,"truthJudge","ran",50,"David","runs",25,"times","year","agree-key",25,3.2188758248682
36,1875,"truthJudge","smoked",75,"Lucas","smokes",70,"times","week","agree-key",3640,8.19973896063079
36,11195,"truthJudge","biked to work",75,"Melinda","bikes to work",24,"times","month","agree-key",288,5.66296048013595
36,4330,"truthJudge","smoked",25,"Alexander","smokes",1,"time","week","disagree-key",52,3.95124371858143
36,2726,"truthJudge","played computer games",50,"Lee","plays computer games",4,"times","week","agree-key",208,5.33753807970132
36,3602,"truthJudge","ate granola for breakfast",50,"William","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
36,3870,"truthJudge","wrote",25,"Kim","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
36,1801,"truthJudge","wrote",75,"Michael","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
36,2895,"truthJudge","hiked",50,"Cameron","hikes",4,"times","year","agree-key",4,1.38629436111989
36,2789,"truthJudge","ran",25,"Claire","runs",3,"times","year","disagree-key",3,1.09861228866811
36,4456,"truthJudge","drove to work",25,"Angela","drives to work",3,"times","week","agree-key",156,5.04985600724954
36,2439,"truthJudge","biked to work",25,"John","bikes to work",2,"times","month","agree-key",24,3.17805383034795
36,2428,"truthJudge","ran",75,"Michelle","runs",120,"times","year","agree-key",120,4.78749174278205
36,1920,"truthJudge","drank",25,"Gabriel","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
36,6007,"truthJudge","vacationed in Switzerland",25,"William","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
36,3198,"truthJudge","drank",75,"Alicia","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
36,1820,"truthJudge","drove to work",75,"Tom","drives to work",5,"times","week","agree-key",260,5.56068163101553
36,3060,"truthJudge","played computer games",25,"Maya","plays computer games",2,"times","week","agree-key",104,4.64439089914137
36,2469,"truthJudge","ate granola for breakfast",75,"David","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
36,7243,"truthJudge","hiked",75,"Laura","hikes",12,"times","year","agree-key",12,2.484906649788
36,4114,"truthJudge","drove to work",50,"Sophia","drives to work",4,"times","week","agree-key",208,5.33753807970132
36,2046,"truthJudge","stole",25,"Alexander","steals cars",1,"car","10 years","agree-key",0.1,-2.30258509299405
36,1401,"truthJudge","stole",75,"Stephanie","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
36,3905,"truthJudge","wrote",50,"Anthony","writes poems",5,"poems","5 years","agree-key",1,0
36,2188,"truthJudge","vacationed in Switzerland",75,"Veronica","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
